Date,Type,Category,Amount,Description,Notes
2026-07-03,expense,Food & Dining,48.00,Restaurant dinner,
2026-07-05,expense,Utilities,142.00,Electricity bill,
2026-07-05,expense,Utilities,62.00,Internet bill,
2026-07-06,expense,Transport,50.00,Gas station,
2026-07-08,expense,Food & Dining,7.25,Coffee shop,
2026-07-09,expense,Groceries,69.40,Supermarket run,
2026-07-10,income,Freelance,350.00,Web design project,
2026-07-11,expense,Transport,20.00,Uber ride,
2026-07-12,expense,Entertainment,55.00,Movie tickets and snacks,
2026-07-14,expense,Food & Dining,12.80,Fast food lunch,
2026-07-15,expense,Groceries,85.60,Weekly groceries,
2026-07-16,expense,Health,55.00,Doctor visit,
2026-07-17,expense,Shopping,180.00,Electronics,
2026-07-18,expense,Transport,42.00,Gas station,
2026-07-19,income,Investments,75.00,Dividend payout,
2026-07-20,expense,Food & Dining,38.00,Takeout order,
2026-07-22,expense,Groceries,72.10,Weekly groceries,
2026-07-23,expense,Education,45.00,Online course,
2026-07-24,expense,Transport,65.00,Bus pass,
2026-07-25,income,Freelance,500.00,Consulting hours,
2026-07-26,expense,Food & Dining,32.00,Brunch with friends,
2026-07-27,expense,Entertainment,20.00,Game purchase,
2026-07-28,expense,Shopping,45.00,Home decor,
2026-07-29,expense,Other,30.00,Gift for friend,
2026-07-30,expense,Utilities,40.00,Water bill,
2026-07-31,expense,Health,35.00,Pharmacy,
2026-08-01,income,Salary,3500.00,Monthly salary,
2026-08-01,expense,Housing,1200.00,Monthly rent,
2026-08-01,expense,Subscriptions,13.99,Netflix,
2026-08-01,expense,Subscriptions,9.99,Spotify,
2026-08-03,expense,Groceries,88.20,Weekly groceries,
2026-08-04,expense,Food & Dining,52.00,Restaurant dinner,
2026-08-05,expense,Utilities,135.00,Electricity bill,
2026-08-05,expense,Utilities,62.00,Internet bill,
2026-08-06,expense,Transport,58.00,Gas station,
2026-08-08,expense,Food & Dining,8.50,Coffee shop,
2026-08-09,expense,Groceries,74.60,Supermarket run,
2026-08-10,income,Freelance,700.00,Web design project,
2026-08-11,expense,Transport,15.00,Uber ride,
2026-08-12,expense,Entertainment,120.00,Concert tickets,
2026-08-14,expense,Food & Dining,22.50,Fast food lunch,
2026-08-15,expense,Groceries,62.30,Weekly groceries,
2026-08-16,expense,Health,45.00,Gym membership,
2026-08-17,expense,Shopping,200.00,Electronics,
2026-08-18,expense,Transport,47.00,Gas station,
2026-08-19,income,Investments,150.00,Stock sale profit,
2026-08-20,expense,Food & Dining,45.00,Brunch with friends,
2026-08-22,expense,Groceries,80.50,Weekly groceries,
2026-08-23,expense,Subscriptions,4.99,Cloud storage,
2026-08-24,expense,Transport,8.00,Parking fee,
2026-08-25,income,Freelance,180.00,Logo design,
2026-08-26,expense,Food & Dining,30.00,Takeout order,
2026-08-27,expense,Education,25.00,Books,
2026-08-28,expense,Entertainment,35.00,Bowling night,
2026-08-29,expense,Shopping,55.00,Home decor,
2026-08-30,expense,Other,20.00,Miscellaneous,
2026-08-31,expense,Utilities,48.00,Water bill,
2026-09-01,income,Salary,3550.00,Monthly salary,
2026-09-01,expense,Housing,1200.00,Monthly rent,
2026-09-01,expense,Subscriptions,13.99,Netflix,
2026-09-01,expense,Subscriptions,9.99,Spotify,
2026-09-02,expense,Groceries,76.80,Weekly groceries,
2026-09-03,expense,Food & Dining,38.00,Restaurant dinner,
2026-09-04,expense,Utilities,125.00,Electricity bill,
2026-09-04,expense,Utilities,62.00,Internet bill,
2026-09-05,expense,Transport,52.00,Gas station,
2026-09-07,expense,Food & Dining,6.25,Coffee shop,
2026-09-08,expense,Groceries,68.90,Supermarket run,
2026-09-10,income,Freelance,400.00,Consulting hours,
2026-09-11,expense,Transport,19.00,Uber ride,
2026-09-12,expense,Entertainment,28.00,Movie tickets,
2026-09-13,expense,Food & Dining,16.50,Fast food lunch,
2026-09-14,expense,Groceries,82.40,Weekly groceries,
2026-09-14,expense,Health,45.00,Gym membership,
2026-09-15,expense,Shopping,75.00,Clothes shopping,
2026-09-16,expense,Transport,44.00,Gas station,
2026-09-17,income,Investments,95.00,Dividend payout,
2026-09-18,expense,Food & Dining,50.00,Brunch with friends,
2026-09-19,expense,Groceries,71.30,Weekly groceries,
2026-09-20,expense,Education,50.00,Online course,
2026-09-21,expense,Transport,65.00,Bus pass,
2026-09-22,income,Freelance,320.00,Logo design,
2026-09-23,expense,Food & Dining,26.00,Takeout order,
2026-09-24,expense,Entertainment,18.00,Game purchase,
2026-09-25,expense,Shopping,35.00,Home decor,
2026-09-26,expense,Other,28.00,Gift for friend,
2026-09-27,expense,Health,30.00,Pharmacy,
2026-09-28,expense,Utilities,42.00,Water bill,
